Year,Month,Day,Hour,Minute,Date,Time,Snaps
2018,6,17,5,0,06/17/2018,05:00:00,33
2018,6,17,5,15,06/17/2018,05:15:00,99
2018,6,17,5,30,06/17/2018,05:30:00,28
2018,6,17,5,45,06/17/2018,05:45:00,18
2018,6,17,6,0,06/17/2018,06:00:00,22
2018,6,17,6,15,06/17/2018,06:15:00,87
2018,6,17,6,30,06/17/2018,06:30:00,13
2018,6,17,6,45,06/17/2018,06:45:00,20
2018,6,17,7,0,06/17/2018,07:00:00,41
2018,6,17,7,15,06/17/2018,07:15:00,27
2018,6,17,7,30,06/17/2018,07:30:00,59
2018,6,17,7,45,06/17/2018,07:45:00,68
2018,6,17,8,0,06/17/2018,08:00:00,45
2018,6,17,8,15,06/17/2018,08:15:00,118
2018,6,17,8,30,06/17/2018,08:30:00,93
2018,6,17,8,45,06/17/2018,08:45:00,210
2018,6,17,9,0,06/17/2018,09:00:00,181
2018,6,17,9,15,06/17/2018,09:15:00,184
2018,6,17,9,30,06/17/2018,09:30:00,309
2018,6,17,9,45,06/17/2018,09:45:00,1235
2018,6,17,10,0,06/17/2018,10:00:00,372
2018,6,17,10,15,06/17/2018,10:15:00,662
2018,6,17,10,30,06/17/2018,10:30:00,731
2018,6,17,10,45,06/17/2018,10:45:00,440
2018,6,17,11,0,06/17/2018,11:00:00,476
2018,6,17,11,15,06/17/2018,11:15:00,1065
2018,6,17,11,30,06/17/2018,11:30:00,1471
2018,6,17,11,45,06/17/2018,11:45:00,1494
2018,6,17,12,0,06/17/2018,12:00:00,1426
2018,6,17,12,15,06/17/2018,12:15:00,1508
2018,6,17,12,30,06/17/2018,12:30:00,1446
2018,6,17,12,45,06/17/2018,12:45:00,1402
2018,6,17,13,0,06/17/2018,13:00:00,1468
2018,6,17,13,15,06/17/2018,13:15:00,1445
2018,6,17,13,30,06/17/2018,13:30:00,1501
2018,6,17,13,45,06/17/2018,13:45:00,1484
2018,6,17,14,0,06/17/2018,14:00:00,1430
2018,6,17,14,15,06/17/2018,14:15:00,1431
2018,6,17,14,30,06/17/2018,14:30:00,1346
2018,6,17,14,45,06/17/2018,14:45:00,1417
2018,6,17,15,0,06/17/2018,15:00:00,1426
2018,6,17,15,15,06/17/2018,15:15:00,1445
2018,6,17,15,30,06/17/2018,15:30:00,1403
2018,6,17,15,45,06/17/2018,15:45:00,1380
2018,6,17,16,0,06/17/2018,16:00:00,1348
2018,6,17,16,15,06/17/2018,16:15:00,1391
2018,6,17,16,30,06/17/2018,16:30:00,1376
2018,6,17,16,45,06/17/2018,16:45:00,1344
2018,6,17,17,0,06/17/2018,17:00:00,1448
2018,6,17,17,15,06/17/2018,17:15:00,1405
2018,6,17,17,30,06/17/2018,17:30:00,1375
2018,6,17,17,45,06/17/2018,17:45:00,1361
2018,6,17,18,0,06/17/2018,18:00:00,1422
2018,6,17,18,15,06/17/2018,18:15:00,1483
2018,6,17,18,30,06/17/2018,18:30:00,1402
2018,6,17,18,45,06/17/2018,18:45:00,1418
2018,6,17,19,0,06/17/2018,19:00:00,1398
2018,6,17,19,15,06/17/2018,19:15:00,1412
2018,6,17,19,30,06/17/2018,19:30:00,1432
2018,6,17,19,45,06/17/2018,19:45:00,1420
2018,6,17,20,0,06/17/2018,20:00:00,1471
2018,6,17,20,15,06/17/2018,20:15:00,1403
2018,6,17,20,30,06/17/2018,20:30:00,1459
2018,6,17,20,45,06/17/2018,20:45:00,1409
2018,6,17,21,0,06/17/2018,21:00:00,1394
2018,6,17,21,15,06/17/2018,21:15:00,1448
2018,6,17,21,30,06/17/2018,21:30:00,1431
2018,6,17,21,45,06/17/2018,21:45:00,1444
2018,6,17,22,0,06/17/2018,22:00:00,1533
2018,6,17,22,15,06/17/2018,22:15:00,1553
2018,6,17,22,30,06/17/2018,22:30:00,1571
2018,6,17,22,45,06/17/2018,22:45:00,1574
2018,6,17,23,0,06/17/2018,23:00:00,1553
2018,6,17,23,15,06/17/2018,23:15:00,1575
2018,6,17,23,30,06/17/2018,23:30:00,1533
2018,6,17,23,45,06/17/2018,23:45:00,1472
2018,6,18,0,0,06/18/2018,00:00:00,1512
2018,6,18,0,15,06/18/2018,00:15:00,1521
2018,6,18,0,30,06/18/2018,00:30:00,1504
2018,6,18,0,45,06/18/2018,00:45:00,1531
2018,6,18,1,0,06/18/2018,01:00:00,1482
2018,6,18,1,15,06/18/2018,01:15:00,1476
2018,6,18,1,30,06/18/2018,01:30:00,1469
2018,6,18,1,45,06/18/2018,01:45:00,1534
2018,6,18,2,0,06/18/2018,02:00:00,1466
2018,6,18,2,15,06/18/2018,02:15:00,1471
2018,6,18,2,30,06/18/2018,02:30:00,1512
2018,6,18,2,45,06/18/2018,02:45:00,1468
2018,6,18,3,0,06/18/2018,03:00:00,1498
2018,6,18,3,15,06/18/2018,03:15:00,1481
2018,6,18,3,30,06/18/2018,03:30:00,1529
2018,6,18,3,45,06/18/2018,03:45:00,1525
2018,6,18,4,0,06/18/2018,04:00:00,1543
2018,6,18,4,15,06/18/2018,04:15:00,1479
2018,6,18,4,30,06/18/2018,04:30:00,1492
2018,6,18,4,45,06/18/2018,04:45:00,1511
2018,6,18,5,0,06/18/2018,05:00:00,1482
2018,6,18,5,15,06/18/2018,05:15:00,1464
2018,6,18,5,30,06/18/2018,05:30:00,1493
2018,6,18,5,45,06/18/2018,05:45:00,1493
2018,6,18,6,0,06/18/2018,06:00:00,1490
2018,6,18,6,15,06/18/2018,06:15:00,1423
2018,6,18,6,30,06/18/2018,06:30:00,1475
2018,6,18,6,45,06/18/2018,06:45:00,1448
2018,6,18,7,0,06/18/2018,07:00:00,1423
2018,6,18,7,15,06/18/2018,07:15:00,1475
2018,6,18,7,30,06/18/2018,07:30:00,1450
2018,6,18,7,45,06/18/2018,07:45:00,1509
2018,6,18,8,0,06/18/2018,08:00:00,1468
2018,6,18,8,15,06/18/2018,08:15:00,1508
2018,6,18,8,30,06/18/2018,08:30:00,1473
2018,6,18,8,45,06/18/2018,08:45:00,1489
2018,6,18,9,0,06/18/2018,09:00:00,1531
2018,6,18,9,15,06/18/2018,09:15:00,1551
2018,6,18,9,30,06/18/2018,09:30:00,1470
2018,6,18,9,45,06/18/2018,09:45:00,1435
2018,6,18,10,0,06/18/2018,10:00:00,1440
2018,6,18,10,15,06/18/2018,10:15:00,1452
2018,6,18,10,30,06/18/2018,10:30:00,1407
2018,6,18,10,45,06/18/2018,10:45:00,1436
2018,6,18,11,0,06/18/2018,11:00:00,1452
2018,6,18,11,15,06/18/2018,11:15:00,1497
2018,6,18,11,30,06/18/2018,11:30:00,1395
2018,6,18,11,45,06/18/2018,11:45:00,1508
2018,6,18,12,0,06/18/2018,12:00:00,1468
2018,6,18,12,15,06/18/2018,12:15:00,1422
2018,6,18,12,30,06/18/2018,12:30:00,1415
2018,6,18,12,45,06/18/2018,12:45:00,1488
2018,6,18,13,0,06/18/2018,13:00:00,1446
2018,6,18,13,15,06/18/2018,13:15:00,1343
2018,6,18,13,30,06/18/2018,13:30:00,1390
2018,6,18,13,45,06/18/2018,13:45:00,1456
2018,6,18,14,0,06/18/2018,14:00:00,1475
2018,6,18,14,15,06/18/2018,14:15:00,1366
2018,6,18,14,30,06/18/2018,14:30:00,1476
2018,6,18,14,45,06/18/2018,14:45:00,1463
2018,6,18,15,0,06/18/2018,15:00:00,1413
2018,6,18,15,15,06/18/2018,15:15:00,1443
2018,6,18,15,30,06/18/2018,15:30:00,1404
2018,6,18,15,45,06/18/2018,15:45:00,1419
2018,6,18,16,0,06/18/2018,16:00:00,1397
2018,6,18,16,15,06/18/2018,16:15:00,1375
2018,6,18,16,30,06/18/2018,16:30:00,1344
2018,6,18,16,45,06/18/2018,16:45:00,1427
2018,6,18,17,0,06/18/2018,17:00:00,1439
2018,6,18,17,15,06/18/2018,17:15:00,1430
2018,6,18,17,30,06/18/2018,17:30:00,1410
2018,6,18,17,45,06/18/2018,17:45:00,1423
2018,6,18,18,0,06/18/2018,18:00:00,1416
2018,6,18,18,15,06/18/2018,18:15:00,1386
2018,6,18,18,30,06/18/2018,18:30:00,1419
2018,6,18,18,45,06/18/2018,18:45:00,1408
2018,6,18,19,0,06/18/2018,19:00:00,1486
2018,6,18,19,15,06/18/2018,19:15:00,1427
2018,6,18,19,30,06/18/2018,19:30:00,1447
2018,6,18,19,45,06/18/2018,19:45:00,1442
2018,6,18,20,0,06/18/2018,20:00:00,1393
2018,6,18,20,15,06/18/2018,20:15:00,1370
2018,6,18,20,30,06/18/2018,20:30:00,1428
2018,6,18,20,45,06/18/2018,20:45:00,1391
2018,6,18,21,0,06/18/2018,21:00:00,1436
2018,6,18,21,15,06/18/2018,21:15:00,1462
2018,6,18,21,30,06/18/2018,21:30:00,1436
2018,6,18,21,45,06/18/2018,21:45:00,1541
2018,6,18,22,0,06/18/2018,22:00:00,1571
2018,6,18,22,15,06/18/2018,22:15:00,1569
2018,6,18,22,30,06/18/2018,22:30:00,1548
2018,6,18,22,45,06/18/2018,22:45:00,1516
2018,6,18,23,0,06/18/2018,23:00:00,1536
2018,6,18,23,15,06/18/2018,23:15:00,1504
2018,6,18,23,30,06/18/2018,23:30:00,1523
2018,6,18,23,45,06/18/2018,23:45:00,1535
2018,6,19,0,0,06/19/2018,00:00:00,1564
2018,6,19,0,15,06/19/2018,00:15:00,1576
2018,6,19,0,30,06/19/2018,00:30:00,1531
2018,6,19,0,45,06/19/2018,00:45:00,1495
2018,6,19,1,0,06/19/2018,01:00:00,1495
2018,6,19,1,15,06/19/2018,01:15:00,1531
2018,6,19,1,30,06/19/2018,01:30:00,1544
2018,6,19,1,45,06/19/2018,01:45:00,1514
2018,6,19,2,0,06/19/2018,02:00:00,1513
2018,6,19,2,15,06/19/2018,02:15:00,1487
2018,6,19,2,30,06/19/2018,02:30:00,1493
2018,6,19,2,45,06/19/2018,02:45:00,1456
2018,6,19,3,0,06/19/2018,03:00:00,1501
2018,6,19,3,15,06/19/2018,03:15:00,1518
2018,6,19,3,30,06/19/2018,03:30:00,1479
2018,6,19,3,45,06/19/2018,03:45:00,1456
2018,6,19,4,0,06/19/2018,04:00:00,1510
2018,6,19,4,15,06/19/2018,04:15:00,1519
2018,6,19,4,30,06/19/2018,04:30:00,1471
2018,6,19,4,45,06/19/2018,04:45:00,1470
2018,6,19,5,0,06/19/2018,05:00:00,1489
2018,6,19,5,15,06/19/2018,05:15:00,1561
2018,6,19,5,30,06/19/2018,05:30:00,1456
2018,6,19,5,45,06/19/2018,05:45:00,1482
2018,6,19,6,0,06/19/2018,06:00:00,1435
2018,6,19,6,15,06/19/2018,06:15:00,1493
2018,6,19,6,30,06/19/2018,06:30:00,1505
2018,6,19,6,45,06/19/2018,06:45:00,1492
2018,6,19,7,0,06/19/2018,07:00:00,1534
2018,6,19,7,15,06/19/2018,07:15:00,1508
2018,6,19,7,30,06/19/2018,07:30:00,1459
2018,6,19,7,45,06/19/2018,07:45:00,1512
2018,6,19,8,0,06/19/2018,08:00:00,1454
2018,6,19,8,15,06/19/2018,08:15:00,1474
2018,6,19,8,30,06/19/2018,08:30:00,1498
2018,6,19,8,45,06/19/2018,08:45:00,1485
2018,6,19,9,0,06/19/2018,09:00:00,1518
2018,6,19,9,15,06/19/2018,09:15:00,1498
2018,6,19,9,30,06/19/2018,09:30:00,1459
2018,6,19,9,45,06/19/2018,09:45:00,1497
2018,6,19,10,0,06/19/2018,10:00:00,1426
2018,6,19,10,15,06/19/2018,10:15:00,1444
2018,6,19,10,30,06/19/2018,10:30:00,1487
2018,6,19,10,45,06/19/2018,10:45:00,1481
2018,6,19,11,0,06/19/2018,11:00:00,1425
2018,6,19,11,15,06/19/2018,11:15:00,1437
2018,6,19,11,30,06/19/2018,11:30:00,1453
2018,6,19,11,45,06/19/2018,11:45:00,1451
2018,6,19,12,0,06/19/2018,12:00:00,1508
2018,6,19,12,15,06/19/2018,12:15:00,1422
2018,6,19,12,30,06/19/2018,12:30:00,1512
2018,6,19,12,45,06/19/2018,12:45:00,1444
2018,6,19,13,0,06/19/2018,13:00:00,1443
2018,6,19,13,15,06/19/2018,13:15:00,1507
2018,6,19,13,30,06/19/2018,13:30:00,1511
2018,6,19,13,45,06/19/2018,13:45:00,1504
2018,6,19,14,0,06/19/2018,14:00:00,1432
2018,6,19,14,15,06/19/2018,14:15:00,1453
2018,6,19,14,30,06/19/2018,14:30:00,1436
2018,6,19,14,45,06/19/2018,14:45:00,1476
2018,6,19,15,0,06/19/2018,15:00:00,1454
2018,6,19,15,15,06/19/2018,15:15:00,1494
2018,6,19,15,30,06/19/2018,15:30:00,1437
2018,6,19,15,45,06/19/2018,15:45:00,1463
2018,6,19,16,0,06/19/2018,16:00:00,1407
2018,6,19,16,15,06/19/2018,16:15:00,1465
2018,6,19,16,30,06/19/2018,16:30:00,1490
2018,6,19,16,45,06/19/2018,16:45:00,1491
2018,6,19,17,0,06/19/2018,17:00:00,1458
2018,6,19,17,15,06/19/2018,17:15:00,1439
2018,6,19,17,30,06/19/2018,17:30:00,1456
2018,6,19,17,45,06/19/2018,17:45:00,1301
2018,6,19,18,0,06/19/2018,18:00:00,1472
2018,6,19,18,15,06/19/2018,18:15:00,1451
2018,6,19,18,30,06/19/2018,18:30:00,1438
2018,6,19,18,45,06/19/2018,18:45:00,1437
2018,6,19,19,0,06/19/2018,19:00:00,1429
2018,6,19,19,15,06/19/2018,19:15:00,1436
2018,6,19,19,30,06/19/2018,19:30:00,1460
2018,6,19,19,45,06/19/2018,19:45:00,1431
2018,6,19,20,0,06/19/2018,20:00:00,1443
2018,6,19,20,15,06/19/2018,20:15:00,1424
2018,6,19,20,30,06/19/2018,20:30:00,1473
2018,6,19,20,45,06/19/2018,20:45:00,1456
2018,6,19,21,0,06/19/2018,21:00:00,1459
2018,6,19,21,15,06/19/2018,21:15:00,1466
2018,6,19,21,30,06/19/2018,21:30:00,1457
2018,6,19,21,45,06/19/2018,21:45:00,1501
2018,6,19,22,0,06/19/2018,22:00:00,1517
2018,6,19,22,15,06/19/2018,22:15:00,1495
2018,6,19,22,30,06/19/2018,22:30:00,1569
2018,6,19,22,45,06/19/2018,22:45:00,1498
2018,6,19,23,0,06/19/2018,23:00:00,1537
2018,6,19,23,15,06/19/2018,23:15:00,1471
2018,6,19,23,30,06/19/2018,23:30:00,1526
2018,6,19,23,45,06/19/2018,23:45:00,1584
2018,6,20,0,0,06/20/2018,00:00:00,1453
2018,6,20,0,15,06/20/2018,00:15:00,1479
2018,6,20,0,30,06/20/2018,00:30:00,1457
2018,6,20,0,45,06/20/2018,00:45:00,1499
2018,6,20,1,0,06/20/2018,01:00:00,1514
2018,6,20,1,15,06/20/2018,01:15:00,1473
2018,6,20,1,30,06/20/2018,01:30:00,1503
2018,6,20,1,45,06/20/2018,01:45:00,1503
2018,6,20,2,0,06/20/2018,02:00:00,1484
2018,6,20,2,15,06/20/2018,02:15:00,1575
2018,6,20,2,30,06/20/2018,02:30:00,1486
2018,6,20,2,45,06/20/2018,02:45:00,1457
2018,6,20,3,0,06/20/2018,03:00:00,1484
2018,6,20,3,15,06/20/2018,03:15:00,1460
2018,6,20,3,30,06/20/2018,03:30:00,1466
2018,6,20,3,45,06/20/2018,03:45:00,1481
2018,6,20,4,0,06/20/2018,04:00:00,1520
2018,6,20,4,15,06/20/2018,04:15:00,1484
2018,6,20,4,30,06/20/2018,04:30:00,1516
2018,6,20,4,45,06/20/2018,04:45:00,1488
2018,6,20,5,0,06/20/2018,05:00:00,1488
2018,6,20,5,15,06/20/2018,05:15:00,1533
2018,6,20,5,30,06/20/2018,05:30:00,1435
2018,6,20,5,45,06/20/2018,05:45:00,1468
2018,6,20,6,0,06/20/2018,06:00:00,1559
2018,6,20,6,15,06/20/2018,06:15:00,1434
2018,6,20,6,30,06/20/2018,06:30:00,1507
2018,6,20,6,45,06/20/2018,06:45:00,1509
2018,6,20,7,0,06/20/2018,07:00:00,1511
2018,6,20,7,15,06/20/2018,07:15:00,1517
2018,6,20,7,30,06/20/2018,07:30:00,1454
2018,6,20,7,45,06/20/2018,07:45:00,1447
2018,6,20,8,0,06/20/2018,08:00:00,1471
2018,6,20,8,15,06/20/2018,08:15:00,1501
2018,6,20,8,30,06/20/2018,08:30:00,1501
2018,6,20,8,45,06/20/2018,08:45:00,1510
2018,6,20,9,0,06/20/2018,09:00:00,1543
2018,6,20,9,15,06/20/2018,09:15:00,1517
2018,6,20,9,30,06/20/2018,09:30:00,1461
2018,6,20,9,45,06/20/2018,09:45:00,1454
2018,6,20,10,0,06/20/2018,10:00:00,1477
2018,6,20,10,15,06/20/2018,10:15:00,1455
2018,6,20,10,30,06/20/2018,10:30:00,1455
2018,6,20,10,45,06/20/2018,10:45:00,1426
2018,6,20,11,0,06/20/2018,11:00:00,1383
2018,6,20,11,15,06/20/2018,11:15:00,1495
2018,6,20,11,30,06/20/2018,11:30:00,1527
2018,6,20,11,45,06/20/2018,11:45:00,1447
2018,6,20,12,0,06/20/2018,12:00:00,1442
2018,6,20,12,15,06/20/2018,12:15:00,1426
2018,6,20,12,30,06/20/2018,12:30:00,1452
2018,6,20,12,45,06/20/2018,12:45:00,1465
2018,6,20,13,0,06/20/2018,13:00:00,1500
2018,6,20,13,15,06/20/2018,13:15:00,1511
2018,6,20,13,30,06/20/2018,13:30:00,1488
2018,6,20,13,45,06/20/2018,13:45:00,1504
2018,6,20,14,0,06/20/2018,14:00:00,1363
2018,6,20,14,15,06/20/2018,14:15:00,1538
2018,6,20,14,30,06/20/2018,14:30:00,1494
2018,6,20,14,45,06/20/2018,14:45:00,1448
2018,6,20,15,0,06/20/2018,15:00:00,1448
2018,6,20,15,15,06/20/2018,15:15:00,1431
2018,6,20,15,30,06/20/2018,15:30:00,1404
2018,6,20,15,45,06/20/2018,15:45:00,1488
2018,6,20,16,0,06/20/2018,16:00:00,1428
2018,6,20,16,15,06/20/2018,16:15:00,1375
2018,6,20,16,30,06/20/2018,16:30:00,1432
2018,6,20,16,45,06/20/2018,16:45:00,1403
2018,6,20,17,0,06/20/2018,17:00:00,1379
2018,6,20,17,15,06/20/2018,17:15:00,1440
2018,6,20,17,30,06/20/2018,17:30:00,1434
2018,6,20,17,45,06/20/2018,17:45:00,1432
2018,6,20,18,0,06/20/2018,18:00:00,1441
2018,6,20,18,15,06/20/2018,18:15:00,1419
2018,6,20,18,30,06/20/2018,18:30:00,1462
2018,6,20,18,45,06/20/2018,18:45:00,1418
2018,6,20,19,0,06/20/2018,19:00:00,1439
2018,6,20,19,15,06/20/2018,19:15:00,1449
2018,6,20,19,30,06/20/2018,19:30:00,1377
2018,6,20,19,45,06/20/2018,19:45:00,1450
2018,6,20,20,0,06/20/2018,20:00:00,1428
2018,6,20,20,15,06/20/2018,20:15:00,1440
2018,6,20,20,30,06/20/2018,20:30:00,1406
2018,6,20,20,45,06/20/2018,20:45:00,1408
2018,6,20,21,0,06/20/2018,21:00:00,1424
2018,6,20,21,15,06/20/2018,21:15:00,1440
2018,6,20,21,30,06/20/2018,21:30:00,1523
2018,6,20,21,45,06/20/2018,21:45:00,1583
2018,6,20,22,0,06/20/2018,22:00:00,1524
2018,6,20,22,15,06/20/2018,22:15:00,1542
2018,6,20,22,30,06/20/2018,22:30:00,1494
2018,6,20,22,45,06/20/2018,22:45:00,1567
2018,6,20,23,0,06/20/2018,23:00:00,1542
2018,6,20,23,15,06/20/2018,23:15:00,1489
2018,6,20,23,30,06/20/2018,23:30:00,1492
2018,6,20,23,45,06/20/2018,23:45:00,1508
2018,6,21,0,0,06/21/2018,00:00:00,1494
2018,6,21,0,15,06/21/2018,00:15:00,1498
2018,6,21,0,30,06/21/2018,00:30:00,1493
2018,6,21,0,45,06/21/2018,00:45:00,1527
2018,6,21,1,0,06/21/2018,01:00:00,1501
2018,6,21,1,15,06/21/2018,01:15:00,1492
2018,6,21,1,30,06/21/2018,01:30:00,1427
2018,6,21,1,45,06/21/2018,01:45:00,1553
2018,6,21,2,0,06/21/2018,02:00:00,1506
2018,6,21,2,15,06/21/2018,02:15:00,1435
2018,6,21,2,30,06/21/2018,02:30:00,1481
2018,6,21,2,45,06/21/2018,02:45:00,1485
2018,6,21,3,0,06/21/2018,03:00:00,1549
2018,6,21,3,15,06/21/2018,03:15:00,1519
2018,6,21,3,30,06/21/2018,03:30:00,1489
2018,6,21,3,45,06/21/2018,03:45:00,1461
2018,6,21,4,0,06/21/2018,04:00:00,1468
2018,6,21,4,15,06/21/2018,04:15:00,1539
2018,6,21,4,30,06/21/2018,04:30:00,1493
2018,6,21,4,45,06/21/2018,04:45:00,1543
2018,6,21,5,0,06/21/2018,05:00:00,1521
2018,6,21,5,15,06/21/2018,05:15:00,1529
2018,6,21,5,30,06/21/2018,05:30:00,1464
2018,6,21,5,45,06/21/2018,05:45:00,1463
2018,6,21,6,0,06/21/2018,06:00:00,1427
2018,6,21,6,15,06/21/2018,06:15:00,1528
2018,6,21,6,30,06/21/2018,06:30:00,1522
2018,6,21,6,45,06/21/2018,06:45:00,1507
2018,6,21,7,0,06/21/2018,07:00:00,1557
2018,6,21,7,15,06/21/2018,07:15:00,1479
