Site,Date,Time,Time_In_Raven,Num_ind_knocks,Num_knock_trains,Num_in_KT,Tot_Knocks,Num_L_calls,L_call_type,Num_Herbivory,Comment
5,24_06_18,3:00:00,0:00:00,0,1,7,7,0,,,
5,24_06_18,3:00:10,0:00:10,0,1,4,4,0,,,
5,24_06_18,3:00:20,0:00:20,0,2,8,8,0,,,
5,24_06_18,3:00:30,0:00:30,1,0,0,1,1,Squeak,,
5,24_06_18,3:00:40,0:00:40,0,0,0,0,0,,,
5,24_06_18,3:00:50,0:00:50,0,0,0,0,0,,,
5,24_06_18,3:01:00,0:01:00,0,0,0,0,1,Buzz,,
5,24_06_18,3:01:10,0:01:10,0,0,0,0,1,Buzz,,
5,24_06_18,3:01:20,0:01:20,0,0,0,0,0,,,
5,24_06_18,3:01:30,0:01:30,1,0,0,1,0,,,
5,24_06_18,3:01:40,0:01:40,0,0,0,0,0,,,
5,24_06_18,3:01:50,0:01:50,0,0,0,0,0,,,
5,24_06_18,3:02:00,0:02:00,0,0,0,0,0,,,
5,24_06_18,3:02:10,0:02:10,0,0,0,0,1,Buzz,,~1000 Hz buzz - higher than usual
5,24_06_18,3:02:20,0:02:20,0,1,4,4,0,,,
5,24_06_18,3:02:30,0:02:30,0,1,6,6,0,,,
5,24_06_18,3:02:40,0:02:40,0,0,0,0,0,,,
5,24_06_18,3:02:50,0:02:50,0,0,0,0,1,UNF,,
5,24_06_18,3:03:00,0:03:00,0,0,0,0,0,,,
5,24_06_18,3:03:10,0:03:10,0,0,0,0,0,,,
5,24_06_18,3:03:20,0:03:20,0,3,6,6,0,,,
5,24_06_18,3:03:30,0:03:30,0,0,0,0,0,,,Super loud snaps
5,24_06_18,3:03:40,0:03:40,0,0,0,0,0,,,
5,24_06_18,3:03:50,0:03:50,0,0,0,0,0,,,
5,24_06_18,3:04:00,0:04:00,2,0,0,2,0,,,
5,24_06_18,3:04:10,0:04:10,0,0,0,0,0,,,
5,24_06_18,3:04:20,0:04:20,0,0,0,0,0,,,
5,24_06_18,3:04:30,0:04:30,1,0,0,1,0,,,
5,24_06_18,3:04:40,0:04:40,1,0,0,1,0,,,
5,24_06_18,3:04:50,0:04:50,1,0,0,1,0,,,
5,24_06_18,9:00:00,0:00:00,0,0,0,0,0,,,
5,24_06_18,9:00:10,0:00:10,1,0,0,1,0,,,
5,24_06_18,9:00:20,0:00:20,1,0,0,1,0,,,
5,24_06_18,9:00:30,0:00:30,0,0,0,0,0,,,
5,24_06_18,9:00:40,0:00:40,0,0,0,0,0,,,
5,24_06_18,9:00:50,0:00:50,0,0,0,0,0,,,
5,24_06_18,9:01:00,0:01:00,1,1,2,3,0,,,
5,24_06_18,9:01:10,0:01:10,0,0,0,0,0,,,
5,24_06_18,9:01:20,0:01:20,0,0,0,0,0,,,
5,24_06_18,9:01:30,0:01:30,0,1,8,8,0,,,
5,24_06_18,9:01:40,0:01:40,0,1,5,5,0,,,
5,24_06_18,9:01:50,0:01:50,0,0,0,0,0,,,
5,24_06_18,9:02:00,0:02:00,0,0,0,0,0,,,
5,24_06_18,9:02:10,0:02:10,0,3,6,6,0,,,
5,24_06_18,9:02:20,0:02:20,2,0,0,2,0,,,
5,24_06_18,9:02:30,0:02:30,2,1,2,4,0,,,
5,24_06_18,9:02:40,0:02:40,1,0,0,1,0,,,
5,24_06_18,9:02:50,0:02:50,0,0,0,0,0,,,
5,24_06_18,9:03:00,0:03:00,0,0,0,0,0,,,
5,24_06_18,9:03:10,0:03:10,0,0,0,0,0,,,
5,24_06_18,9:03:20,0:03:20,2,0,0,2,0,,,
5,24_06_18,9:03:30,0:03:30,0,1,2,2,0,,,
5,24_06_18,9:03:40,0:03:40,0,0,0,0,0,,,
5,24_06_18,9:03:50,0:03:50,0,2,6,6,0,,,
5,24_06_18,9:04:00,0:04:00,0,0,0,0,0,,,
5,24_06_18,9:04:10,0:04:10,0,0,0,0,0,,,Lots of snaps in the low frequencies
5,24_06_18,9:04:20,0:04:20,0,0,0,0,0,,,
5,24_06_18,9:04:30,0:04:30,0,0,0,0,0,,,
5,24_06_18,9:04:40,0:04:40,0,0,0,0,0,,,
5,24_06_18,9:04:50,0:04:50,1,0,0,1,0,,,
5,24_06_18,15:00:00,0:00:00,0,0,0,0,0,,,
5,24_06_18,15:00:10,0:00:10,0,0,0,0,0,,,
5,24_06_18,15:00:20,0:00:20,0,0,0,0,0,,,
5,24_06_18,15:00:30,0:00:30,1,0,0,1,0,,,
5,24_06_18,15:00:40,0:00:40,0,0,0,0,0,,,
